
4	26415
4	29255
4	23414
4	22280
4	24409
4	17377
4	21226
4	16438
4	26643
4	22724
4	19924
4	23830
4	33912
4	21450
4	22643
4	21748
4	27630
4	20233
4	22487
4	22284
4	29338
4	25999
4	19721
4	22896
4	16313
4	25832
4	23935
4	25870
4	13401
4	25295
4	23548
4	22707
4	34281
4	25139
4	18400
4	22110
4	26147
4	26141
4	33528
4	24807
4	18239
4	27016
4	22015
4	25525
4	24842
4	16337
4	21590
4	20522
4	23548
4	23948
4	26826
4	25886
4	30913
4	26451
4	22310
4	26621
4	13019
4	26318
4	16870
4	20468
4	17956
4	32744
4	16795
4	26465
4	22328
4	26029
4	25526
4	17937
4	22231
4	29556
4	13205
4	25620
4	19883
4	16295
4	23717
4	21985
4	23782
4	30016
4	26864
4	23499
4	20452
4	22743
4	17725
4	26582
4	22099
4	25748
4	26071
4	27132
4	26917
4	22169
4	22941
4	16449
4	25545
4	26609
4	23740
4	12558
4	18829
4	21397
4	21468
4	33142
