	24511
		21990
		21744
		21595
		21219
		21457
		21961
		37988
		39353
		21543
		20733
		20846
		21201
		20707
		20725
		20626
		21052
		22062
		23649
		21427
		21379
		26291
		21370
		32608
		20880
		21709
		34114
		32947
		33850
		33002
		33893
		33211
		33420
		30163
		44820
		21729
		21603
		20788
		20987
		21271
		21535
		20842
		31340
		21214
		20818
		21142
		20755
		20807
		20882
		21370
		20903
		22014
		20732
		21092
		21951
		22247
		20582
		21173
		21093
		20846
		20865
		22227
		21691
		21116
		21431
		20744
		20865
		20840
		21341
		21493
		25116
		20865
		21074
		21172
		20949
		20637
		20554
		22039
		20727
		21175
		21154
		25294
		20761
		20715
		21411
		20681
		20699
		20838
		23642
		21070
		22266
		22484
		20982
		23988
		21300
		21362
		22245
		21467
		21012
		22308
	
