	28015
		28351
		29983
		37324
		29443
		39793
		39692
		26132
		26897
		26902
		26654
		25152
		25270
		26110
		25890
		25786
		26723
		25804
		25664
		25204
		25265
		26460
		25347
		25517
		25027
		24282
		24906
		24885
		24414
		24812
		24881
		38084
		38478
		27684
		32835
		32257
		36683
		25045
		25480
		26086
		24899
		24850
		26272
		24571
		24268
		37394
		36541
		38790
		33421
		26948
		25015
		24885
		24384
		24845
		24890
		25332
		24656
		25001
		25640
		24713
		25095
		24747
		29030
		24595
		31616
		24535
		24364
		24891
		24808
		24738
		34545
		24725
		24605
		24116
		24505
		24782
		24577
		37375
		24688
		24402
		24503
		37683
		24989
		24750
		24548
		28295
		24915
		24796
		24065
		36424
		24716
		24197
		24757
		26788
		37194
		24948
		25999
		25675
		25050
		25400
	
