4	gettime	3725
4	rdtsc	3710.5
16	gettime	3784
16	rdtsc	3742
64	gettime	4020.5
64	rdtsc	4029.5
256	gettime	4927
256	rdtsc	4917.5
1024	gettime	8467
1024	rdtsc	8442
4096	gettime	22630
4096	rdtsc	22650
16384	gettime	79448
16384	rdtsc	79326
65536	gettime	304868
65536	rdtsc	304230
262144	gettime	1206769
262144	rdtsc	1207895
524288	gettime	2405527
524288	rdtsc	2407611
